OBJECTID,Status,Address,YearBuilt,BuildingName,ArchitecturalStyle,DesignationPart,HeritageConservationDistrict,ByLaw,ShapeSTArea,ShapeSTLength
8650,Designated Heritage Property,40 Empress Ave,1870c, ,Side-hall Plan (shp) Cottage,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,653.86458008,126.491477444898
8651,Listed Heritage Property,580 Talbot St,1884c,Wighton Property,Italianate, , , ,505.92375376,93.3057018857655
8652,Listed Heritage Property,129 Mill St,1881p, ,Vernacular, , , ,407.60181976,108.834633437182
8653,Listed Heritage Property,593 Talbot St,1884,Beasley Property,Italianate, , , ,235.8439704,83.0826367904994
8654,Listed Heritage Property,156 John St,1881,Gauthier Property,Gothic Revival, , , ,374.4182088,107.084683544908
8655,Listed Heritage Property,619 Richmond St,1889c,Alcor Inv.ltd.,Italianate, , , ,161.24802472,71.8624221303716
8656,Designated Heritage Property,227 Wharncliffe Rd N,1890,St. Georges Anglican,Gothic Revival,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,2747.43477398,212.971100834248
8657,Designated Heritage Property,26 Empress Ave,1865c, ,Ontario Farmhouse,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,859.87815352,134.690926774422
8658,Listed Heritage Property,154 John St,1881,Brady Property,Gothic Revival, , , ,437.92697208,109.889524522647
8659,Listed Heritage Property,619 Talbot St,1884c,Evans/hearn Property,Ontario Cottage, , , ,417.43210664,85.2874940087965
8660,Designated Heritage Property,140 Mill St,1881,Aaron Constr'n Prop.,Italianate,IV, ,LSP3268272,319.116358,82.9957660680003
8661,Listed Heritage Property,629 Talbot St,1884c, ,Italianate, , , ,380.3542868,82.5829371996968
8662,Designated Heritage Property,9 Blackfriars St,1877,Collins House,Italianate,IV And V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,637.99836644,142.747838311282
8663,Designated Heritage Property,25 Empress Ave,1860c, ,Side-hall Plan (shp) Cottage,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,628.25068734,158.148082310602
8664,Designated Heritage Property,680 Talbot St,1889c, ,Italianate,IV, ,LSP306860,415.8895812,81.7666210518046
8665,Designated Heritage Property,225 Wharncliffe Rd N,1893, ,Italianate,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,609.2100112,116.501318789244
8666,Listed Heritage Property,129 John St,1878,Macneill Property,High Victorian, , , ,1519.74560976,207.678850046215
8667,Listed Heritage Property,"565-569 Richmond St, 202 Albert St",1881,The Corner Block,High Victorian, , , ,358.88286144,77.40000916886
8668,Designated Heritage Property,175 Wharncliffe Rd N,1870c, ,Vernacular,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,931.12583016,136.446665134126
8669,Listed Heritage Property,139 Mill St,1890c, ,Side-hall Plan (shp) Cottage, , , ,401.71453928,108.710608045422
8670,Listed Heritage Property,149 Central Ave,1874, ,Georgian Revival, , , ,793.80105448,131.674358024967
8671,Listed Heritage Property,128-130 Mill St,1881, ,Georgian Revival, , , ,1089.42292176,156.935833682452
8672,Designated Heritage Property,80 Barton St,1866c,Raleigh House,Gothic Revival,IV, ,LSP2674338,2221.61011632,190.445102194224
8673,Designated Heritage Property,568 Richmond St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,2764.81532406,235.112555655047
8674,Designated Heritage Property,533 Clarence St, , , ,V,West Woodfield Heritage Conservation District,LSP3400254,7270.83761584,402.186098743753
8675,Designated Heritage Property,142 Mill St,1881,Aaron Constr'n Prop.,Italianate,IV, ,LSP3268272,332.862102,92.3748452022489
8676,Designated Heritage Property,146 Mill St,1863,Aaron Const'n Ltd.,Italianate,IV, ,LSP3268272,273.32725728,86.0012001854131
8677,Designated Heritage Property,674 Talbot St,1880c,Kowalchuk Property,Italianate,IV, ,LSP3365196,360.76767432,112.527319723609
8678,Designated Heritage Property,46 Oxford St W, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,538.15951968,99.1355283455994
8679,Designated Heritage Property,34 Oxford St W, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,438.98831968,115.940338121861
8680,Designated Heritage Property,36 Oxford St W, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,489.48230352,109.08329818599
8681,Designated Heritage Property,40 Oxford St W, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,424.07789472,98.2774162341324
8682,Designated Heritage Property,42 Oxford St W, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,406.58183896,96.7431361859603
8683,Designated Heritage Property,30 Oxford St W, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,596.52586632,110.913194270054
8684,Designated Heritage Property,28 Oxford St W, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,515.72666376,95.3006093047342
8685,Designated Heritage Property,26 Oxford St W, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,284.14043672,77.4540031120699
8686,Designated Heritage Property,34 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,1010.6496872,140.750262671542
8687,Designated Heritage Property,36 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,1010.65201672,140.750262676839
8688,Designated Heritage Property,32 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,490.01330112,99.927125148152
8689,Designated Heritage Property,28 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,485.2303712,99.6652334609687
8690,Designated Heritage Property,21 St Patrick St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,549.7193005,107.61194417116
8691,Designated Heritage Property,23 St Patrick St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,975.5702133,140.531300919989
8692,Designated Heritage Property,27 St Patrick St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,488.93535668,99.7568700020214
8693,Designated Heritage Property,33 St Patrick St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,372.7107775,87.0180568771518
8694,Designated Heritage Property,31 St Patrick St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,443.99410418,93.0512232254902
8695,Designated Heritage Property,29 St Patrick St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,489.0604314,99.7764610331846
8696,Designated Heritage Property,31 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,505.93044112,120.813143780447
8697,Designated Heritage Property,33 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,506.85416048,120.871631481013
8698,Designated Heritage Property,35 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,506.20416848,120.867637677011
8699,Designated Heritage Property,39 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,506.50204224,120.923729100819
8700,Designated Heritage Property,37 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,507.10960168,120.925704351431
8701,Designated Heritage Property,41 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,520.76806672,121.500267563279
8702,Designated Heritage Property,43 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,493.12174392,120.403468732101
8703,Designated Heritage Property,27 St Andrew St, , , ,V,Blackfriars-Petersville Heritage Conservation District,LSP3437179,506.62038406,90.590494293704
