OBJECTID,Theme,Layer,FeatureCode,LastEditDate,ShapeSTArea,ShapeSTLength
636,Structures,Map 2D - Structures - Public Pool,EL30150000,2022/08/31 00:00:00+00,185.517335,48.5835715004457
637,Structures,Map 2D - Structures - Public Pool,EL30150000,2022/08/31 00:00:00+00,178.72471,47.4302441520094
638,Structures,Map 2D - Structures - Public Pool,EL30150000,2022/08/31 00:00:00+00,1138.692738,143.028296244277
639,Structures,Map 2D - Structures - Public Pool,EL30150000,2022/08/31 00:00:00+00,93.6565605,38.7109854548757
640,Structures,Map 2D - Structures - Public Pool,EL30150000,2022/08/31 00:00:00+00,1496.29147225,211.296780223241
641,Structures,Map 2D - Structures - Public Pool,EL30150000,2022/08/31 00:00:00+00,682.522273375,110.434016708817
642,Structures,Map 2D - Structures - Public Pool,EL30150000,2022/08/31 00:00:00+00,111.4839,43.4203960932993
643,Structures,Map 2D - Structures - Public Pool,EL30150000,2022/08/31 00:00:00+00,652.2748315,108.624882561017
644,Structures,Map 2D - Structures - Public Pool,EL30150000,2022/08/31 00:00:00+00,603.080890375,152.216362980207
645,Structures,Map 2D - Structures - Public Pool,EL30150000,2024/08/31 00:00:00+00,4.5547535,25.489626022955
646,Structures,Map 2D - Structures - Public Pool,EL30150000,2024/08/31 00:00:00+00,153.09519361,51.1049278280809
647,Structures,Map 2D - Structures - Public Pool,EL30150000,2024/08/31 00:00:00+00,125.355010925,42.9912391097378
648,Structures,Map 2D - Structures - Public Pool,EL30150000,2025/07/31 00:00:00+00,95.41798646,41.9257028039199
649,Structures,Map 2D - Structures - Public Pool,EL30150000,2025/07/31 00:00:00+00,84.020318085,38.6672531210422
650,Structures,Map 2D - Structures - Public Pool,EL30150000,2025/07/31 00:00:00+00,126.163704065,46.3051968915071
651,Structures,Map 2D - Structures - Public Pool,EL30150000,2025/07/31 00:00:00+00,72.126274055,34.2406518891024
